,File,Class,Text,Datatype
0,source1.txt,-1,amrozi accused his brother whom he called the witness  of deliberately distorting his evidence ,orig
1,answer1.txt,1,referring to him as only the witness  amrozi accused his brother of deliberately distorting his evidence ,train
2,source2.txt,-1,yucaipa owned dominick s before selling the chain to safeway in 1998 for 2 5 billion ,orig
3,answer2.txt,0,yucaipa bought dominick s in 1995 for 693 million and sold it to safeway for 1 8 billion in 1998 ,train
4,source3.txt,-1,they had published an advertisement on the internet on june 10 offering the cargo for sale he added ,orig
5,answer3.txt,1,on june 10 the ship s owners had published an advertisement on the internet offering the explosives for sale ,train
6,source4.txt,-1,around 0335 gmt tab shares were up 19 cents or 4 4  at a 4 56 having earlier set a record high of a 4 57 ,orig
7,answer4.txt,0,tab shares jumped 20 cents or 4 6  to set a record closing high at a 4 57 ,train
8,source5.txt,-1,the stock rose 2 11 or about 11 percent to close friday at 21 51 on the new york stock exchange ,orig
9,answer5.txt,1,pg e corp shares jumped 1 63 or 8 percent to 21 03 on the new york stock exchange on friday ,train
10,source6.txt,-1,revenue in the first quarter of the year dropped 15 percent from the same period a year earlier ,orig
11,answer6.txt,1,with the scandal hanging over stewart s company revenue the first quarter of the year dropped 15 percent from the same period a year earlier ,train
12,source7.txt,-1,the nasdaq had a weekly gain of 17 27 or 1 2 percent closing at 1 520 15 on friday ,orig
13,answer7.txt,0,the tech laced nasdaq composite ixic rallied 30 46 points or 2 04 percent to 1 520 15 ,train
14,source8.txt,-1,the dvd cca then appealed to the state supreme court ,orig
15,answer8.txt,1,the dvd cca appealed that decision to the u s supreme court ,train
16,source9.txt,-1,that compared with 35 18 million or 24 cents per share in the year ago period ,orig
17,answer9.txt,0,earnings were affected by a non recurring 8 million tax benefit in the year ago period ,train
18,source10.txt,-1,he said the foodservice pie business doesn t fit the company s long term growth strategy ,orig
19,answer10.txt,1, the foodservice pie business does not fit our long term growth strategy ,train
20,source11.txt,-1,shares of genentech a much larger company with several products on the market rose more than 2 percent ,orig
21,answer11.txt,0,shares of xoma fell 16 percent in early trade while shares of genentech a much larger company with several products on the market were up 2 percent ,train
22,source12.txt,-1,legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming house approval in march ,orig
23,answer12.txt,0,legislation making it harder for consumers to erase their debts in bankruptcy court won speedy house approval in march and was endorsed by the white house ,train
24,source13.txt,-1,the nasdaq composite index increased 10 73 or 0 7 percent to 1 514 77 ,orig
25,answer13.txt,0,the nasdaq composite index full of technology stocks was lately up around 18 points ,train
26,source14.txt,-1,but he added group performance would improve in the second half of the year and beyond ,orig
27,answer14.txt,1,de sole said in the results statement that group performance would improve in the second half of the year and beyond ,train
28,source15.txt,-1,he told the sun newspaper that mr hussein s daughters had british schools and hospitals in mind when they decided to ask for asylum ,orig
29,answer15.txt,1, saddam s daughters had british schools and hospitals in mind when they decided to ask for asylum  especially the schools  he told the sun ,train
30,source16.txt,-1,gyorgy heizler head of the local disaster unit said the coach was carrying 38 passengers ,orig
31,answer16.txt,0,the head of the local disaster unit gyorgy heizler said the coach driver had failed to heed red stop lights ,train
32,source17.txt,-1,rudder was most recently senior vice president for the developer  platform evangelism business ,orig
33,answer17.txt,0,senior vice president eric rudder formerly head of the developer and platform evangelism unit will lead the new entity ,train
34,source18.txt,-1,as well as the dolphin scheme the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls ,orig
