,File,Class,Datatype,Text
0,source1.txt,-1.0,orig,a group of kids is playing in a yard and an old man is standing in the background
1,answer1.txt,4.5,train,a group of boys in a yard is playing and a man is standing in the background
2,source2.txt,-1.0,orig,a group of children is playing in the house and there is no man standing in the background
3,answer2.txt,3.2,train,a group of kids is playing in a yard and an old man is standing in the background
4,source3.txt,-1.0,orig,the young boys are playing outdoors and the man is smiling nearby
5,answer3.txt,4.7,train,the kids are playing outdoors near a man with a smile
6,source4.txt,-1.0,orig,the young boys are playing outdoors and the man is smiling nearby
7,answer4.txt,3.6,train,there is no boy playing outdoors and there is no man smiling
8,source5.txt,-1.0,orig,the kids are playing outdoors near a man with a smile
9,answer5.txt,3.4,train,a group of kids is playing in a yard and an old man is standing in the background
10,source6.txt,-1.0,orig,there is no boy playing outdoors and there is no man smiling
11,answer6.txt,3.3,test,a group of kids is playing in a yard and an old man is standing in the background
12,source7.txt,-1.0,orig,a group of boys in a yard is playing and a man is standing in the background
13,answer7.txt,3.7,test,the young boys are playing outdoors and the man is smiling nearby
14,source8.txt,-1.0,orig,a group of children is playing in the house and there is no man standing in the background
15,answer8.txt,3.0,test,the young boys are playing outdoors and the man is smiling nearby
16,source9.txt,-1.0,orig,the young boys are playing outdoors and the man is smiling nearby
17,answer9.txt,3.7,train,a group of kids is playing in a yard and an old man is standing in the background
18,source10.txt,-1.0,orig,a brown dog is attacking another animal in front of the tall man in pants
19,answer10.txt,4.9,test,a brown dog is attacking another animal in front of the man in pants
20,source11.txt,-1.0,orig,a brown dog is attacking another animal in front of the man in pants
21,answer11.txt,3.665,test,a brown dog is helping another animal in front of the man in pants
22,source12.txt,-1.0,orig,two dogs are fighting
23,answer12.txt,4.0,train,two dogs are wrestling and hugging
24,source13.txt,-1.0,orig,two dogs are wrestling and hugging
25,answer13.txt,3.3,test,there is no dog wrestling and hugging
26,source14.txt,-1.0,orig,a brown dog is attacking another animal in front of the man in pants
27,answer14.txt,3.5,train,two dogs are fighting
28,source15.txt,-1.0,orig,a brown dog is attacking another animal in front of the man in pants
29,answer15.txt,2.7,test,there is no dog wrestling and hugging
30,source16.txt,-1.0,orig,two dogs are wrestling and hugging
31,answer16.txt,2.9,test,a brown dog is attacking another animal in front of the tall man in pants
32,source17.txt,-1.0,orig,two dogs are wrestling and hugging
33,answer17.txt,2.3,test,a brown dog is helping another animal in front of the man in pants
34,source18.txt,-1.0,orig,a brown dog is attacking another animal in front of the man in pants
35,answer18.txt,3.2,train,two dogs are wrestling and hugging
36,source19.txt,-1.0,orig,a person in a black jacket is doing tricks on a motorbike
37,answer19.txt,4.9,test,a man in a black jacket is doing tricks on a motorbike
38,source20.txt,-1.0,orig,there is no man in a black jacket doing tricks on a motorbike
39,answer20.txt,3.6,test,a person in a black jacket is doing tricks on a motorbike
40,source21.txt,-1.0,orig,a person in a black jacket is doing tricks on a motorbike
41,answer21.txt,3.0,test,a person on a black motorbike is doing tricks with a jacket
42,source22.txt,-1.0,orig,a skilled person is riding a bicycle on one wheel
43,answer22.txt,4.3,test,a person is riding the bicycle on one wheel
44,source23.txt,-1.0,orig,nobody is riding the bicycle on one wheel
45,answer23.txt,4.1,test,a person is riding the bicycle on one wheel
46,source24.txt,-1.0,orig,a person in a black jacket is doing tricks on a motorbike
47,answer24.txt,3.4,train,a skilled person is riding a bicycle on one wheel
48,source25.txt,-1.0,orig,nobody is riding the bicycle on one wheel
49,answer25.txt,2.8,train,a person in a black jacket is doing tricks on a motorbike
50,source26.txt,-1.0,orig,a person is riding the bicycle on one wheel
51,answer26.txt,3.7,train,a man in a black jacket is doing tricks on a motorbike
52,source27.txt,-1.0,orig,a person is riding the bicycle on one wheel
53,answer27.txt,3.2,test,there is no man in a black jacket doing tricks on a motorbike
