File,Class,Datatype,Text
source1.txt,-1.0,orig,An air plane is taking off.
answer1.txt,5.0,train,A plane is taking off.
source2.txt,-1.0,orig,A man is playing a flute.
answer2.txt,3.8,train,A man is playing a large flute.
source3.txt,-1.0,orig,A man is spreading shredded cheese on an uncooked pizza.
answer3.txt,3.8,train,A man is spreading shreded cheese on a pizza.
source4.txt,-1.0,orig,Two men are playing chess.
answer4.txt,2.6,train,Three men are playing chess.
source5.txt,-1.0,orig,A man seated is playing the cello.
answer5.txt,4.25,train,A man is playing the cello.
source6.txt,-1.0,orig,Two men are fighting.
answer6.txt,4.25,train,Some men are fighting.
source7.txt,-1.0,orig,A man is skating.
answer7.txt,0.5,train,A man is smoking.
source8.txt,-1.0,orig,The man is playing the guitar.
answer8.txt,1.6,train,The man is playing the piano.
source9.txt,-1.0,orig,A woman is playing an acoustic guitar and singing.
answer9.txt,2.2,train,A man is playing on a guitar and singing.
source10.txt,-1.0,orig,A person throws a cat on the ceiling.
answer10.txt,5.0,train,A person is throwing a cat on to the ceiling.
source11.txt,-1.0,orig,The man spanked the other man with a stick.
answer11.txt,4.2,train,The man hit the other man with a stick.
source12.txt,-1.0,orig,A woman picks up and holds a baby kangaroo in her arms.
answer12.txt,4.6,train,A woman picks up and holds a baby kangaroo.
source13.txt,-1.0,orig,A man is playing a bamboo flute.
answer13.txt,3.867,train,A man is playing a flute.
source14.txt,-1.0,orig,Someone is folding a piece of paper.
answer14.txt,4.667,train,A person is folding a piece of paper.
source15.txt,-1.0,orig,A panda dog is running on the road.
answer15.txt,1.6669999999999998,train,A man is running on the road.
source16.txt,-1.0,orig,A dog is trying to eat the bacon on its back.
answer16.txt,3.75,train,A dog is trying to get bacon off his back.
source17.txt,-1.0,orig,A polar bear is sliding across the snow.
answer17.txt,5.0,train,The polar bear is sliding on the snow.
source18.txt,-1.0,orig,A woman is swimming.
answer18.txt,0.5,train,A woman is writing.
source19.txt,-1.0,orig,A cat is rubbing against a baby.
answer19.txt,3.8,train,A cat is rubbing against baby's face.
source20.txt,-1.0,orig,A man is riding on a horse.
answer20.txt,5.0,train,The man is riding a horse.
source21.txt,-1.0,orig,A man pours wine in a pot.
answer21.txt,3.2,train,A man pours oil into a pot.
source22.txt,-1.0,orig,A girl is playing a guitar.
answer22.txt,2.8,train,A man is playing a guitar.
source23.txt,-1.0,orig,A panda slides down a slide.
answer23.txt,4.6,train,A panda is sliding down a slide.
source24.txt,-1.0,orig,A woman is eating meat.
answer24.txt,3.0,train,A woman is eating something.
source25.txt,-1.0,orig,A woman is peeling a potato.
answer25.txt,5.0,train,A woman peels a potato.
source26.txt,-1.0,orig,A boy falls off his bike.
answer26.txt,4.8,train,The boy fell off his bike.
source27.txt,-1.0,orig,A woman is playing a flute.
answer27.txt,5.0,train,The woman is playing the flute.
source28.txt,-1.0,orig,A hare is running from a eagle.
answer28.txt,4.2,train,A rabbit is running from an eagle.
source29.txt,-1.0,orig,A woman is cooking a breaded pork chop.
answer29.txt,4.2,train,The woman is frying a breaded pork chop.
source30.txt,-1.0,orig,A girl running is flying a kite.
answer30.txt,4.0,train,A girl is flying a kite.
source31.txt,-1.0,orig,A man rode a mechanical bull.
answer31.txt,4.0,train,A man is riding a mechanical bull.
source32.txt,-1.0,orig,A man is playing a guitar.
answer32.txt,4.909,train,The man is playing the guitar.
source33.txt,-1.0,orig,A woman is dancing and singing in the rain.
answer33.txt,3.0,train,A woman is dancing and singing with other women.
