File,Class,DataType
source1.txt,-1,orig
answer1.txt,4.5,train
source2.txt,-1,orig
answer2.txt,3.2,train
source3.txt,-1,orig
answer3.txt,4.7,train
source4.txt,-1,orig
answer4.txt,3.6,train
source5.txt,-1,orig
answer5.txt,3.4,train
source6.txt,-1,orig
answer6.txt,3.3,test
source7.txt,-1,orig
answer7.txt,3.7,test
source8.txt,-1,orig
answer8.txt,3,test
source9.txt,-1,orig
answer9.txt,3.7,train
source10.txt,-1,orig
answer10.txt,4.9,test
source11.txt,-1,orig
answer11.txt,3.665,test
source12.txt,-1,orig
answer12.txt,4,train
source13.txt,-1,orig
answer13.txt,3.3,test
source14.txt,-1,orig
answer14.txt,3.5,train
source15.txt,-1,orig
answer15.txt,2.7,test
source16.txt,-1,orig
answer16.txt,2.9,test
source17.txt,-1,orig
answer17.txt,2.3,test
source18.txt,-1,orig
answer18.txt,3.2,train
source19.txt,-1,orig
answer19.txt,4.9,test
source20.txt,-1,orig
answer20.txt,3.6,test
source21.txt,-1,orig
answer21.txt,3,test
source22.txt,-1,orig
answer22.txt,4.3,test
source23.txt,-1,orig
answer23.txt,4.1,test
source24.txt,-1,orig
answer24.txt,3.4,train
source25.txt,-1,orig
answer25.txt,2.8,train
source26.txt,-1,orig
answer26.txt,3.7,train
source27.txt,-1,orig
answer27.txt,3.2,test
source28.txt,-1,orig
answer28.txt,3.4,train
source29.txt,-1,orig
answer29.txt,3.3,test
source30.txt,-1,orig
answer30.txt,4.9,train
source31.txt,-1,orig
answer31.txt,4,test
source32.txt,-1,orig
answer32.txt,4.2,test
source33.txt,-1,orig
answer33.txt,4.7,test
source34.txt,-1,orig
answer34.txt,3.9,test
source35.txt,-1,orig
answer35.txt,3.6,train
source36.txt,-1,orig
answer36.txt,3.5,test
source37.txt,-1,orig
answer37.txt,4,test
source38.txt,-1,orig
answer38.txt,3.5,test
source39.txt,-1,orig
answer39.txt,3.6,test
source40.txt,-1,orig
answer40.txt,3.8,train
source41.txt,-1,orig
answer41.txt,4.4,test
source42.txt,-1,orig
answer42.txt,3.4,train
source43.txt,-1,orig
answer43.txt,4,test
source44.txt,-1,orig
answer44.txt,4.9,train
source45.txt,-1,orig
answer45.txt,3.9,train
source46.txt,-1,orig
answer46.txt,3.9,test
source47.txt,-1,orig
answer47.txt,3.415,train
source48.txt,-1,orig
answer48.txt,3.7,test
source49.txt,-1,orig
answer49.txt,3.7,train
source50.txt,-1,orig
answer50.txt,3.6,test
source51.txt,-1,orig
answer51.txt,3.9,test
source52.txt,-1,orig
answer52.txt,4.9,test
source53.txt,-1,orig
answer53.txt,4,test
source54.txt,-1,orig
answer54.txt,3.9,test
source55.txt,-1,orig
answer55.txt,4.4,train
source56.txt,-1,orig
answer56.txt,3.8,train
source57.txt,-1,orig
answer57.txt,4.1,test
source58.txt,-1,orig
answer58.txt,3.5,train
source59.txt,-1,orig
answer59.txt,3.9,test
source60.txt,-1,orig
answer60.txt,3.1,test
source61.txt,-1,orig
answer61.txt,3.9,test
source62.txt,-1,orig
answer62.txt,4,train
source63.txt,-1,orig
answer63.txt,4.4,test
source64.txt,-1,orig
answer64.txt,3.8,test
source65.txt,-1,orig
answer65.txt,2.9,train
source66.txt,-1,orig
answer66.txt,4.8,test
source67.txt,-1,orig
answer67.txt,4.1,test
source68.txt,-1,orig
answer68.txt,4.6,test
source69.txt,-1,orig
answer69.txt,3.6,test
source70.txt,-1,orig
answer70.txt,4.1,train
source71.txt,-1,orig
answer71.txt,3.3,test
source72.txt,-1,orig
answer72.txt,2.5,train
source73.txt,-1,orig
answer73.txt,4.2,train
source74.txt,-1,orig
answer74.txt,4.7,test
source75.txt,-1,orig
answer75.txt,3.8,test
source76.txt,-1,orig
answer76.txt,2.9,test
source77.txt,-1,orig
answer77.txt,4.4,train
source78.txt,-1,orig
answer78.txt,3.2,train
source79.txt,-1,orig
answer79.txt,3.635,train
source80.txt,-1,orig
answer80.txt,1.3,test
source81.txt,-1,orig
answer81.txt,2.4,train
source82.txt,-1,orig
answer82.txt,2.6,train
source83.txt,-1,orig
answer83.txt,2.2,train
source84.txt,-1,orig
answer84.txt,3,train
source85.txt,-1,orig
answer85.txt,2,train
source86.txt,-1,orig
answer86.txt,2.6,test
source87.txt,-1,orig
answer87.txt,5,train
source88.txt,-1,orig
answer88.txt,4.2,train
source89.txt,-1,orig
answer89.txt,4.8,test
source90.txt,-1,orig
answer90.txt,3,train
source91.txt,-1,orig
answer91.txt,3.1,train
source92.txt,-1,orig
answer92.txt,1.6,test
source93.txt,-1,orig
answer93.txt,1.7,train
source94.txt,-1,orig
answer94.txt,1.4,train
source95.txt,-1,orig
answer95.txt,1.6,test
source96.txt,-1,orig
answer96.txt,1.2,test
source97.txt,-1,orig
answer97.txt,1.5,train
source98.txt,-1,orig
answer98.txt,4.8,train
source99.txt,-1,orig
answer99.txt,3.8,train
source100.txt,-1,orig
answer100.txt,4.1,train
source101.txt,-1,orig
