File,Class,DataType
source1.txt,-1,orig
answer1.txt,neutral,train
source2.txt,-1,orig
answer2.txt,neutral,train
source3.txt,-1,orig
answer3.txt,entailment,train
source4.txt,-1,orig
answer4.txt,contradiction,train
source5.txt,-1,orig
answer5.txt,neutral,train
source6.txt,-1,orig
answer6.txt,neutral,test
source7.txt,-1,orig
answer7.txt,neutral,test
source8.txt,-1,orig
answer8.txt,neutral,test
source9.txt,-1,orig
answer9.txt,neutral,train
source10.txt,-1,orig
answer10.txt,entailment,test
source11.txt,-1,orig
answer11.txt,neutral,test
source12.txt,-1,orig
answer12.txt,neutral,train
source13.txt,-1,orig
answer13.txt,contradiction,test
source14.txt,-1,orig
answer14.txt,neutral,train
source15.txt,-1,orig
answer15.txt,neutral,test
source16.txt,-1,orig
answer16.txt,neutral,test
source17.txt,-1,orig
answer17.txt,neutral,test
source18.txt,-1,orig
answer18.txt,neutral,train
source19.txt,-1,orig
answer19.txt,entailment,test
source20.txt,-1,orig
answer20.txt,contradiction,test
source21.txt,-1,orig
answer21.txt,neutral,test
source22.txt,-1,orig
answer22.txt,entailment,test
source23.txt,-1,orig
answer23.txt,contradiction,test
source24.txt,-1,orig
answer24.txt,neutral,train
source25.txt,-1,orig
answer25.txt,neutral,train
source26.txt,-1,orig
answer26.txt,neutral,train
source27.txt,-1,orig
answer27.txt,neutral,test
source28.txt,-1,orig
answer28.txt,neutral,train
source29.txt,-1,orig
answer29.txt,neutral,test
source30.txt,-1,orig
answer30.txt,entailment,train
source31.txt,-1,orig
answer31.txt,contradiction,test
source32.txt,-1,orig
answer32.txt,entailment,test
source33.txt,-1,orig
answer33.txt,entailment,test
source34.txt,-1,orig
answer34.txt,contradiction,test
source35.txt,-1,orig
answer35.txt,neutral,train
source36.txt,-1,orig
answer36.txt,neutral,test
source37.txt,-1,orig
answer37.txt,neutral,test
source38.txt,-1,orig
answer38.txt,contradiction,test
source39.txt,-1,orig
answer39.txt,neutral,test
source40.txt,-1,orig
answer40.txt,neutral,train
source41.txt,-1,orig
answer41.txt,entailment,test
source42.txt,-1,orig
answer42.txt,contradiction,train
source43.txt,-1,orig
answer43.txt,neutral,test
source44.txt,-1,orig
answer44.txt,entailment,train
source45.txt,-1,orig
